calflora_binomial,USDA_symbol
Acer macrophyllum,ACMA3
Achillea millefolium,ACMI2
Achyrachaena mollis,ACMO2
Acmispon americanus,LOAM5
Acmispon brachycarpus,LOHU2
Acmispon glaber,LOSC2
Acmispon grandiflorus,LOGR3
Acmispon maritimus,LOMA16
Acmispon strigosus,LOST4
Acmispon wrangelianus,LOWR2
Acourtia microcephala,ACMI3
Adenostoma fasciculatum,ADFA
Adiantum capillus-veneris,ADCA
Adiantum jordanii,ADJO
Aegilops cylindrica,AECY
Agoseris grandiflora,AGGR
Agoseris heterophylla,AGHE2
Agoseris retrorsa,AGRE
Agrostis exarata,AGEX
Agrostis hooveri,AGHO
Agrostis pallens,AGPA8
Ailanthus altissima,AIAL
Allium amplectens,ALAM2
Allium campanulatum,ALCA2
Allium crispum,ALCR5
Allium diabolense,ALDI10
Allium haematochiton,ALHA
Allium howellii,ALHO2
Allium peninsulare,ALPE
Allophyllum gilioides,ALGI
Allophyllum glutinosum,ALGL3
Alnus rhombifolia,ALRH2
Amaranthus albus,AMAL
Amaranthus retroflexus,AMRE
Ammi majus,AMMA
Amorpha californica,AMCA5
Amsinckia douglasiana,AMDO
Amsinckia intermedia,AMIN3
Amsinckia menziesii,AMME
Amsinckia vernicosa,AMVE
Ancistrocarphus filagineus,ANFI3
Anemopsis californica,ANCA10
Anthemis cotula,ANCO2
Anthriscus caucalis,ANCA14
Antirrhinum multiflorum,SAMU2
Aphanes occidentalis,APOC
Apiastrum angustifolium,APAN
Apocynum cannabinum,APCA
Arceuthobium campylopodum,ARCA3
Arctostaphylos glandulosa,ARGL3
Arctostaphylos glauca,ARGL4
Arctostaphylos pungens,ARPU5
Arctostaphylos refugioensis,ARRE5
Arctostaphylos viridissima,ARVI7
Aristida adscensionis,ARAD
Artemisia californica,ARCA11
Artemisia douglasiana,ARDO3
Asclepias californica,ASCA3
Asclepias eriocarpa,ASER
Asclepias fascicularis,ASFA
Aspidotis californica,ASCA5
Astragalus didymocarpus,ASDI3
Astragalus gambelianus,ASGA
Astragalus trichopodus,ASTR6
Athysanus pusillus,ATPU
Atriplex serenana,ATSE2
Atriplex suberecta,ATSU80
Avena barbata,AVBA
Avena fatua,AVFA
Baccharis glutinosa,BAGL2
Baccharis pilularis,BAPI
Baccharis plummerae,BAPL
Baccharis salicifolia,BASA4
Barbarea orthoceras,BAOR
Bidens pilosa,BIPI
Bloomeria crocea,BLCR
Bowlesia incana,BOIN3
Brachypodium distachyon,BRDI2
Brassica nigra,BRNI
Brickellia californica,BRCA3
Brodiaea jolonensis,BRJO
Brodiaea terrestris,BRTE4
Bromus arenarius,BRAR3
Bromus berteroanus,BRBE6
Bromus carinatus,BRCA5
Bromus diandrus,BRDI3
Bromus grandis,BRGR4
Bromus hordeaceus,BRHO2
Bromus laevipes,BRLA3
Bromus madritensis,BRMA3
Bromus pseudolaevipes,BRPS
Bromus tectorum,BRTE
Calandrinia menziesii,CACI2
California macrophylla,CAMA61
Callitriche marginata,CAMA3
Calochortus albus,CAAL2
Calochortus catalinae,CACA5
Calochortus clavatus,CACL
Calochortus splendens,CASP
Calochortus superbus,CASU3
Calochortus venustus,CAVE3
Calystegia collina,CACO35
Calystegia macrostegia,CAMA24
Calystegia malacophylla,CAMA38
Calystegia purpurata,CAPU18
Camissoniopsis intermedia,CAIN23
Camissoniopsis micrantha,CAMI22
Capsella bursa-pastoris,CABU2
Cardamine californica,CACA39
Carduus pycnocephalus,CAPY2
Carex angustata,CAAN15
Carex serratodens,CASE2
Castilleja affinis,CAAF
Castilleja applegatei,CAAP4
Castilleja attenuata,CAAT25
Castilleja exserta,CAEX14
Castilleja foliolosa,CAFO2
Caulanthus amplexicaulis,CAAM11
Caulanthus coulteri,CACO38
Caulanthus lasiophyllus,CALA35
Ceanothus cuneatus,CECU
Ceanothus leucodermis,CELE2
Ceanothus megacarpus,CEME
Ceanothus oliganthus,CEOL
Ceanothus palmeri,CEPA
Centaurea melitensis,CEME2
Centranthus ruber,CERU2
Cerastium glomeratum,CEGL2
Ceratophyllum demersum,CEDE4
Cercocarpus betuloides,CEBE3
Chaenactis glabriuscula,CHGL
Chenopodium berlandieri,CHBE4
Chenopodium californicum,CHCA3
Chlorogalum pomeridianum,CHPO3
Chorizanthe membranacea,CHME2
Chorizanthe obovata,CHOB4
Chorizanthe palmeri,CHPA8
Chorizanthe staticoides,CHST4
Cichorium intybus,CIIN
Cirsium occidentale,CIOC
Cirsium vulgare,CIVU
Clarkia affinis,CLAF
Clarkia bottae,CLBO
Clarkia cylindrica,CLCY
Clarkia epilobioides,CLEP
Clarkia heterandra,CLHE4
Clarkia purpurea,CLPU2
Clarkia rhomboidea,CLRH
Clarkia unguiculata,CLUN
Claytonia exigua,CLEX2
Claytonia gypsophiloides,CLGY2
Claytonia parviflora,CLPA5
Claytonia perfoliata,CLPE
Clematis lasiantha,CLLA3
Clematis ligusticifolia,CLLI2
Clinopodium mimuloides,CLMI9
Collinsia bartsiifolia,COBA
Collinsia heterophylla,COHE
Collomia grandiflora,COGR4
Conium maculatum,COMA2
Convolvulus arvensis,COAR4
Convolvulus simulans,COSI4
Cordylanthus rigidus,CORI2
Corethrogyne filaginifolia,COFI2
Cornus sericea,COSE16
Cortaderia selloana,COSE4
Cotula coronopifolia,COCO7
Crassula connata,CRCO34
Croton setiger,CRSE11
Crypsis schoenoides,CRSC
Cryptantha clevelandii,CRCL
Cryptantha corollata,CRCO33
Cryptantha intermedia,CRIN8
Cryptantha micromeres,CRMI2
Cryptantha microstachys,CRMI3
Cryptantha muricata,CRMU2
Cucurbita foetidissima,CUFO
Cuscuta californica,CUCA
Cynara cardunculus,CYCA
Cynodon dactylon,CYDA
Cyperus esculentus,CYES
Datisca glomerata,DAGL2
Datura wrightii,DAWR2
Daucus pusillus,DAPU3
Deinandra fasciculata,DEFA2
Delphinium parryi,DEPA2
Delphinium patens,DEPA3
Delphinium umbraculorum,DEUM
Dendromecon rigida,DERI
Dichelostemma capitatum,DICA14
Drymocallis glandulosa,DRGL7
Drymocallis lactea,POGL9
Dryopteris arguta,DRAR3
Dudleya lanceolata,DULA
Dudleya pulverulenta,DUPU
Dysphania ambrosioides,DYAM
Ehrendorferia chrysantha,EHCH
Eleocharis macrostachya,ELMA5
Eleocharis montevidensis,ELMO2
Eleocharis parishii,ELPA4
Eleocharis rostellata,ELRO2
Elymus condensatus,ELCO4
Elymus elymoides,ELEL5
Elymus glaucus,ELGL
Elymus multisetus,ELMU3
Elymus ponticus,THPO7
Elymus repens,ELRE4
Elymus triticoides,ELTR3
Emmenanthe penduliflora,EMPE
Encelia californica,ENCA
Epilobium brachycarpum,EPBR3
Epilobium canum,EPCA3
Epilobium ciliatum,EPCI
Epilobium minutum,EPMI
Epipactis gigantea,EPGI
Equisetum hyemale,EQHY
Equisetum laevigatum,EQLA
Equisetum telmateia,EQTE
Eremothera boothii,CABO7
Erigeron bonariensis,ERBO4
Erigeron canadensis,ERCA20
Erigeron foliosus,ERFO2
Eriodictyon tomentosum,ERTO
Eriodictyon traskiae,ERTR6
Eriogonum cithariforme,ERCI8
Eriogonum elongatum,EREL6
Eriogonum fasciculatum,ERFA2
Eriogonum gracile,ERGR5
Eriogonum nudum,ERNU3
Eriogonum saxatile,ERSA6
Eriophyllum confertiflorum,ERCO25
Erodium cicutarium,ERCI6
Erodium moschatum,ERMO7
Erysimum capitatum,ERCA14
Eschscholzia caespitosa,ESCA
