taxon	common	lifeform	status	family	bloom
Acer macrophyllum	Bigleaf maple	Tree	native	SAPINDACEAE	4-5
Achillea millefolium	Yarrow	Perennial herb	native	ASTERACEAE	4-8
Achyrachaena mollis	Blow wives	Annual herb	native	ASTERACEAE	4-5
Acmispon americanus	American bird's foot trefoil	Annual herb	native	FABACEAE	4-7
Acmispon americanus var. americanus	Spanish lotus	Annual herb	native	FABACEAE	4-7
Acmispon brachycarpus	Short podded lotus	Annual herb	native	FABACEAE	3-6
Acmispon glaber	Deerweed	Perennial herb	native	FABACEAE	3-8
Acmispon glaber var. glaber	Deerweed	Perennial herb	native	FABACEAE	3-7
Acmispon grandiflorus	Large leaved lotus	Perennial herb	native	FABACEAE	4-7
Acmispon maritimus	Coastal lotus	Annual herb	native	FABACEAE	3-6
Acmispon maritimus var. maritimus	Coastal lotus	Annual herb	native	FABACEAE	3-6
Acmispon strigosus	Strigose lotus	Annual herb	native	FABACEAE	2-6
Acmispon wrangelianus	Chilean trefoil	Annual herb	native	FABACEAE	3-4
Acourtia microcephala	Sacapellote	Perennial herb	native	ASTERACEAE	6-8
Adenostoma fasciculatum	Chamise	Tree, Shrub	native	ROSACEAE	6-8
Adenostoma fasciculatum var. fasciculatum	Chamise	Tree, Shrub	native	ROSACEAE	6-8
Adiantum capillus-veneris	Maidenhair fern	Fern	native	PTERIDACEAE	6-8
Adiantum jordanii	California maidenhair fern	Fern	native	PTERIDACEAE
Aegilops cylindrica	Jointed goatgrass	Annual grass	invasive non-native	POACEAE	5-7
Agoseris grandiflora	Giant mountain dandelion	Perennial herb	native	ASTERACEAE	3-5
Agoseris heterophylla	Mountain dandelion	Annual herb	native	ASTERACEAE	4-7
Agoseris heterophylla var. cryptopleura	Mountain dandelion	Annual herb	native	ASTERACEAE	4-7
Agoseris retrorsa	Spear leaved agoseris	Perennial herb	native	ASTERACEAE	4-6
Agrostis exarata	Bentgrass	Perennial grass	native	POACEAE	5-6
Agrostis hooveri	Hoover's bent grass	Perennial grass	native	POACEAE	4-7
Agrostis pallens	Diego bent grass	Perennial grass	native	POACEAE	4-5
Ailanthus altissima	Tree of heaven	Tree	invasive non-native	SIMAROUBACEAE	5-6
Allium amplectens	Narrow leaved onion	Perennial herb (bulb)	native	ALLIACEAE	3-7
Allium campanulatum	Dusky onion	Perennial herb (bulb)	native	ALLIACEAE	6-8
Allium crispum	Crinkled onion	Perennial herb (bulb)	native	ALLIACEAE	3-6
Allium diabolense	Diablo onion	Perennial herb (bulb)	native	ALLIACEAE	4-6
Allium haematochiton	Red skinned onion	Perennial herb (bulb)	native	ALLIACEAE	3-5
Allium howellii	Howell's onion	Perennial herb (bulb)	native	ALLIACEAE	4-6
Allium peninsulare	Mexicali onion	Perennial herb (bulb)	native	ALLIACEAE	5-6
Allophyllum gilioides	Dense false gilia	Annual herb	native	POLEMONIACEAE	4-7
Allophyllum gilioides ssp. gilioides	Dense false gilia	Annual herb	native	POLEMONIACEAE	4-7
Allophyllum glutinosum	Sticky false gilia	Annual herb	native	POLEMONIACEAE	4-6
Alnus rhombifolia	White alder	Tree	native	BETULACEAE	9-11
Amaranthus albus	Tumbleweed	Annual herb	non-native	AMARANTHACEAE	4-10
Amaranthus retroflexus	Rough pigweed	Annual herb	non-native	AMARANTHACEAE	6-11
Ammi majus	Bishop's weed	Annual, Biennial herb	non-native	APIACEAE	5-7
Amorpha californica	False indigo	Shrub	native	FABACEAE	4-7
Amorpha californica var. californica	California false indigo	Shrub	native	FABACEAE	4-7
Amsinckia douglasiana	Douglas' fiddleneck	Annual herb	native	BORAGINACEAE	3-5
Amsinckia intermedia	Common fiddleneck	Annual herb	native	BORAGINACEAE	2-6
Amsinckia menziesii	Fiddleneck	Annual herb	native	BORAGINACEAE	3-5
Amsinckia vernicosa	Green fiddleneck	Annual herb	native	BORAGINACEAE	3-5
Ancistrocarphus filagineus	Woolly fishhooks	Annual herb	native	ASTERACEAE	3-5
Anemopsis californica	Yerba mansa	Perennial herb	native	SAURURACEAE	2-3
Anthemis cotula	Dog fennel	Annual herb	invasive non-native	ASTERACEAE	5-9
Anthriscus caucalis	Bur chevril	Annual herb, Vine	non-native	APIACEAE	3-5
Antirrhinum multiflorum	Sticky snapdragon	Annual, Perennial herb	native	PLANTAGINACEAE	5-7
Aphanes occidentalis	Ladie's mantle	Annual, Perennial herb	native	ROSACEAE	2-4
Apiastrum angustifolium	Wild celery	Annual herb	native	APIACEAE	3-4
Apocynum cannabinum	Indian hemp	Perennial herb	native	APOCYNACEAE	6-8
Arceuthobium campylopodum	Pine  dwarf mistletoe	Perennial herb (parasitic)	native	VISCACEAE	7-11
Arctostaphylos glandulosa	Eastwood manzanita	Shrub	native	ERICACEAE	1-3
Arctostaphylos glandulosa ssp. glandulosa	Eastwood manzanita	Shrub	native	ERICACEAE	1-3
Arctostaphylos glandulosa ssp. mollis	Transverse range manzanita	Shrub	native	ERICACEAE	1-3
Arctostaphylos glauca	Big berry manzanita	Tree, Shrub	native	ERICACEAE	1-2
Arctostaphylos pungens	Mexican manzanita	Tree, Shrub	native	ERICACEAE	1-2
Arctostaphylos refugioensis	Refugio manzanita	Shrub	native	ERICACEAE	12-3
Arctostaphylos viridissima	Mcminn's manzanita	Shrub	native	ERICACEAE	12-5
Aristida adscensionis	Three awn	Annual grass	native	POACEAE	1-11
